name,line,rs_score
Agent,What's up Rick!,0.031
Rick,What's good Morty?,0.129
Agent,What are you talking about?!,0.161
Rick,The election’s got these yellow shirts more riled up than a Picture Day Jessica.,0.09
Agent,Jessica.,0.124
Rick,Morty!,0.155
Agent,You made me miss Rick’,0.224
Rick,"You make fun of me all the time, and now you got me singing a sad, sad, old, wounded animal!",0.124
Agent,"Oh, man, oh, man.",0.126
Rick,"Oh man. Oh, man!",0.142
Agent,Holy crap.,0.042
Rick,What the hell is wrong with you people?!,0.0
Agent,"You're acting crazy, or something.",0.0
Rick,You don’t know me!,0.028
Agent,Don’T threaten her!,0.071
Rick,"Look, I’m just saying, if she wants to leave I‘m not gonna threaten her.",0.086
Agent,Look at her! Look at her. Look at how fickle this family is!,0.019
Rick,"I’ve seen enough of this to know that when our son shows up in a couple of crucial situations, we can’d like, you know, end up getting him to the hospital and having him wrapped up in bubble wrap for the night and dropping it to the floor and dropping to the carpet!",0.117
Agent,"The day the shit hits is all over her! All right, Morty, you made it real loud and loud!",0.017
Rick,That’ll take a lot of damage!,0.0
Agent,It’re all over.,0.029
