name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Morty!,0.062
Agent,Rick!,0.096
Rick,"Uh, no no no, Morty. You're right. We've been split for twenty minutes, and your math is off the wafer, Morty!",0.189
Agent,Wafer than a bag of sand.,0.156
Rick,That's a three-pointer!,0.186
Agent,You guys hit the deer!,0.252
Rick,Holy crap!,0.152
Agent,"Hey, it's you guys!",0.216
Rick,We hit the dumber than a potato!,0.241
Agent,"Come on, Morty, time to make our move.",0.281
Rick,Make it bounce.,0.31
Agent,Come at me.,0.343
Rick,"Oh, man.",0.36
Agent,Hey!,0.383
Rick,"Ohhhh, man!",0.421
Agent,What the hell is happening?!,0.321
Rick,"I don't know, man, I don't even know. I just happened to fall in love with Jessica.",0.421
Agent,What?,0.453
Rick,Ohhhhhh!,0.488
Agent,The student becomes the teacher.,0.536
