name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Morty!,0.062
Agent,Rick?,0.096
Rick,"Hey, Mooorty.",0.122
Agent,"Rick, is everything okay in here?",0.151
Rick,Mooortys are human!,0.181
Agent,"All right, Morty, time to make our move.",0.273
Rick,Make it bounce.,0.301
Agent,Allahu  akbar! We're gonna take control of this plane! We got to get out of here and land it on the Pope.,0.338
Rick,What?! We're not gonna land it? We're going to take over the goddamn thing! We just got out of school and we're gonna do it all by yourselves!,0.24
Agent,I thought that was a myth.,0.173
Rick,We're not going anywhere. We're just gonna take over Earth's grossest city!,0.074
Agent,"Well, since you're not here to contribute to the discussion, I'll say, ""yes.""",0.053
Rick,"Yeah, well, since this is the first part of a three-pointer, you might as well contribute to it as well.",0.085
Agent,"I think it's a good idea, Rick. I think it would be a good learning moment for you.",0.184
Rick,"Yes, Rick, if we could get out this whole time, I think we could be a family.",0.215
Agent,You think I could get a job?,0.246
Rick,"Oh, geez, Rick! You think I can fly a helicopter?",0.199
Agent,You don't think I would let my boss know I'm putting my kids in a pickle?,0.229
Rick,"I don't be a parent, Morty!",0.256
Agent,Oh!,0.271
