name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Hey there, stranger. What are you doing out of class?",0.0
Agent,"Oh, my God. He's in prison.",0.0
Rick,What? In prison?,0.0
Agent,Noooooo!,0.002
Rick,Ooooooaaahhh!,0.033
Agent,Ohhhhhh!,0.068
Rick,Aaaaah!,0.149
Agent,"Rick, if we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.",0.179
Rick,"Ohhhh, I'm sorry. I mean, it's our world, and I know it's not like you're gonna have to do that. I'm just saying, sometimes, the dogs like to be “reemporarily"" and sometimes, you gotta put them on a timer so when the dogs wear them out, you can set them on an even smaller timer.",0.079
Agent,"Ah, shit.",0.0
Rick,You know what? Okay.,0.0
Agent,"Yeah, you're right. I'll just do it myself.",0.097
Rick,"I mean, you know, I mean I could've just used a time out of my life to save a life.",0.193
Agent,"It's okay, Rick. You know what I mean.",0.153
Rick,"That's not funny, Rick! That's not even my original Summer!",0.073
Agent,I'm so sorry.,0.0
Rick,We were robbed.,0.0
Agent,"Ooh! Oh, geez, my parents, I feel so bad.",0.0
Rick,Rick!,0.034
Agent,What the hell?,0.0
