name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Whoa whoa wh-what are you doing out of class?,0.085
Agent,"Taking a long look at myself, I see. I see we have very different ideas of what good and bad are.",0.0
Rick,"Oh, come on. You know what? I'm trying to tell you something.  That is so awesome.",0.1
Agent,"Aw, geez, Rick.",0.014
Rick,Aww.,0.11
Agent,Morty!,0.141
Rick,A-am I talking right now?,0.178
Agent,Aw geez.,0.083
Rick,"Yeah, you know what, Morty, it looks like we've hit dream bedrock here, Morty.",0.152
Agent,T-t-that's a three-pointer!,0.178
Rick,"I sense that you're having trouble with math, and that means that you know nothing about the matter at all.",0.078
Agent,"Hey, Morty! The trick to incepting is making people think they came up with the idea.",0.104
Rick,It's a trap!,0.004
Agent,No way.,0.0
Rick,"You came up here with that idea, Morty",0.029
Agent,You know what I came here to say?  I came to say the same thing.,0.066
Rick,"Well, maybe you came to the same conclusion that we should stick with the original plan, Morty?",0.091
Agent,"Well if we stick with Jessica for all that is all that, I don't see that as an issue.",0.006
Rick,"That's a good attitude, Rick",0.106
Agent,"You're a lucky fella to where you came from, Morty...",0.204
