name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Morty!,0.062
Agent,Rick!,0.096
Rick,I told ya not to invite this mummified motherfucker back!,0.091
Agent,"Hey, it's fine. He's just a phantom train conductor. You don't really have to worry about him.",0.095
Rick,"That's it, Rick! I'm taking the wheel!",0.128
Agent,"Whoa, whoa! Whoa! Whoooooaaaa! Who's got it better, Morty?",0.153
Rick,Who's got the shit on his face?,0.053
Agent,"What the hell is that, Frank?",0.0
Rick,"It's a device, Morty! It's a chemical that makes your brain secrete what's in your food. If you put it in your ear, you'll die.",0.0
Agent,What's the chemical thing?,0.028
Rick,"Frank's got a chemical thing going on him that he's trying to use to kill us! It might be something we could put in our food, Morty.",0.0
Agent,"Ugh, Frank.",0.0
Rick,"It'll do, Frank!",0.029
Agent,Ugghh!,0.0
Rick,"It won't do, Morty, it won't!",0.017
Agent,Don't worry about Frank. He'll be fine.,0.115
Rick,"Oh, Frank, I'm sorry. I know you're worried about me. I'm a little worried about you.",0.015
Agent,"Whoopsie! Oh, my God! Oh! Oh.",0.031
Rick,"No, Frank is dying.",0.0
Agent,"Yeah, Frank's worried about us.",0.0
