name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Morty, we're taking fire from an automated turret. Can you bring it offline?",0.062
Agent,"Rick, we need your help tonight.",0.136
Rick,Uh-huh.,0.153
Agent,"Whoa, whoa! Whoa!",0.177
Rick,Hey! Who in the fuck's toilet is this?,0.077
Agent,The one that wasn't designed to attack or hurt you in any way.,0.0
Rick,Where's the evidence that the  was the chemical that prolonged his life?,0.0
Agent,"It's not what you think it is, honey. The chemical in his urine is what makes you think you're special.",0.011
Rick,You think you can just walk on this thing?,0.041
Agent,Mm-hmm.,0.075
Rick,"All right, all right. Well, I'll just go get my family and I'll talk to you later.",0.174
Agent,"Yeah, sure.",0.206
Rick,"Okay, yeah. I get it. I totally get it, you're a dad. You're a genius. You came to the Citadel to be a plumber, after all. I mean, you came to be an intelligent pickle. I'm a pickle, after everything. I've learned by now, you've got a lot to work on.",0.238
Agent,I know what a pickles are.,0.279
Rick,That's a bluff. He's bluffing.,0.191
Agent,He's bluff.,0.218
Rick,"Buckle up, bitch! You're bluffing!",0.143
Agent,I'm bluffing hard!,0.043
Rick,Get the fuck out of here!,0.0
Agent,"Oh, I'm bluff! Oh, you were bluffing real serious, you didn't see me coming here! Oh! Ohh! Ohhhh! Ohhhhh! Oh...",0.0
