name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh, what's up Morty?",0.059
Agent,What's good Morty? What's up?,0.157
Rick,Whoooooooa!,0.191
Agent,Whoa! Whoa! Whooooooa!,0.219
Rick,Ohhhhhh!,0.254
Agent,Aaaaah!,0.335
Rick,Holy crap!,0.235
Agent,What the hell is happening?!,0.135
Rick,The galactic government collapsed.,0.039
Agent,Did... did he just say “musical reality show”?,0.0
Rick,You say ” showmanship is dying?,0.0
Agent,"It’s not how you play the game, bitch!",0.0
Rick,The election’ll determine if a man is charismatic or a nuisance!,0.0
Agent,"Well, he can’t be in charge anymore after his father has already won!",0.077
Rick,"Buttery-eyed deer, raised to be aggressive, defeated by the many heads!",0.0
Agent,By the many head!,0.029
Rick,Then he should be sterilized!,0.055
Agent,Yes!,0.089
Rick,"Jerry, we’re sorry for that discussion! We were having an affair!",0.022
Agent,No! We weren’d let you go because you were acting crazy! We had an affair?!,0.0
