name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh-oh! Oh, my God!",0.036
Agent,Morty!,0.067
Rick,Rick?,0.101
Agent,"M-m-my partner. Morty, you're right.",0.198
Rick,Mmm.,0.282
Agent,"Yeah, I guess.",0.312
Rick,"I don't know. I mean, look, I got a lot to be pickle about.",0.34
Agent,You don't have to rub it in.,0.37
Rick,"Oh, my god.",0.389
Agent,What?,0.421
Rick,What's yours?,0.454
Agent,You shut up!,0.482
Rick,"Whoa, whoa, wh-what the hell hell hell?",0.382
Agent,"Ow, ow ouch!",0.347
Rick,What the hell? Wh-what are you doing?,0.247
Agent,"Uh, ouch, ow.",0.225
Rick,"Oof, ow, owie.",0.208
Agent,Whoopsie!,0.228
Rick,"You're right, ow ow. I'm wrong.",0.227
Agent,"Well, I know one thing for sure I'm not a hack. I know a lot about the things I do. I've got about five minutes to be a competent one, and that's my idea.",0.288
