name,line,rs_score
Agent,What's up Rick!,0.031
Rick,What's the matter with you Morty?,0.063
Agent,You're always picking on me. You're so petty.,0.0
Rick,"Oh, my God! He's trying to tell us something.  That's so awesome.",0.1
Agent,"It's not my job to take sides or pass judgment. You do the same thing, and we're both adults that want what's best for our son.",0.109
Rick,"Then why aren't you helping him, Jerry?",0.01
Agent,Because he's not me. He's my partner. And I don't really care about anyone's feelings.,0.0
Rick,"You don't have to be mean, sweetie.",0.062
Agent,"Aw, fuck.",0.0
Rick,"Look, I know you're frustrating me, but it's better than making my problems other people's problems.",0.0
Agent,"Okay, fine. I'll talk to you later.",0.0
Rick,"Yeah, okay.",0.0
Agent,"I understand your feelings. I understand your anger. But, uh, I don’t think it’s necessary to keep talking about this. You know, if I were to talk about it, I think you might get sick of your life.",0.0
Rick,"Shut up, Jerry. You’re an animal.",0.013
Agent,"If I were you, I wouldn’d eat more vegetables.",0.043
Rick,"Jerry, stop saying that! Stop saying that. You are making my pee problem.",0.0
Agent,Listen!,0.061
Rick,You’ve obviously never put enough pressure on yourself to get that pickle to make it work.,0.0
Agent,"All right, all right, Morty. All right, take these seeds are gonna be good for my precious pheromone.",0.099
Rick,That’m…,0.121
Agent,You know what a pheros are for ants?,0.152
