name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Hey there, stranger. How you doing?",0.0
Agent,Ohh! Ohh!,0.035
Rick,Aaaaah! Oh! Ohhh!,0.116
Agent,"Ooh! Oh, my God! He's in agony!",0.099
Rick,"He's in pain, Jerry!",0.0
Agent,"Oh, he sure is. Oh, he really is.",0.028
Rick,"He sure is, sweetie.",0.119
Agent,Oh! Ohhhh!,0.145
Rick,Is that a pocketful of Ricks?,0.176
Agent,I'm a Rick! I'm more of a Billy Corgan.,0.209
Rick,Are you a Billy Creamery?,0.242
Agent,Are we not invited?,0.252
Rick,"Come on, Morty. You know you want to be an even bigger ball of shit.",0.152
Agent,Big Morty is gonna need a bigger penis.,0.052
Rick,"You know what, I'm gonna need that big penis, Morty? That's what Big Morty needs to be doing.",0.0
Agent,"That's enough, Big Morty. We don't want you injuring your ball-throwing arm.",0.02
Rick,"All right, Ruffles, Ruffle, Ruffled up.",0.06
Agent,"Whoa, whoa! Hey, Rufflet!",0.084
Rick,Who's this?,0.128
Agent,You're a golden example of what this breed is all about.,0.16
