name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Morty, stop! You're not allowed to interpret the will of the heads!",0.052
Agent,What the hell?,0.0
Rick,M-m-my God!,0.021
Agent,"Rick, what the hell is wrong with you?",0.0
Rick,"It's a figure of speech, Morty. I'm not being coy about anything. If you get what I want you to do, stay out of this.",0.016
Agent,You're the one that keeps dragging these deaths on. You're a walking burlap sack filled with turds.,0.0
Rick,What? What kind of God lets these things happen?,0.04
Agent,One that rewards cruelty and vindictive behavior and doesn't threaten anyone.,0.0
Rick,"Okay, fine. I'll bite the bullet, Morty, but only if you give me an hour or so to figure this out.",0.0
Agent,"Oh, for God's sake, Rick. I-I'm trying to figure out why you would do this. I hope it involves a gun.",0.049
Rick,Because I want to shoot nobody.,0.078
Agent,Why are you acting like that's not you?!,0.106
Rick,Because you're stupid and I want a quicker death.,0.006
Agent,"I-I want to die slowly, like, slowly.",0.0
Rick,Rick! You want to see what a hero Rick is?,0.097
Agent,I want you back!,0.145
Rick,"You want to be a real hero, Morty!",0.233
Agent,"I hope you get to see the big payoff, Morty",0.333
Rick,"I mean, you're not gonna die for real cheap pills, Morty?",0.366
Agent,"Oh! I'm gonna die, Morty...",0.266
