name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh, yeah, I think we've hit dream bedrock here, Morty. It's time to make our move.",0.093
Agent,Make it bounce.,0.122
Rick,"No, you didn't.",0.149
Agent,"Oh, man.",0.165
Rick,What the hell is wrong with you people?! You're always picking on me and now you're trying to make me feel bad.,0.065
Agent,You're the worst.,0.0
Rick,"Aw, man! Oh, man, man...",0.049
Agent,I know. I know. It makes me sad to see another Rick cop buying into his sensitivity training.,0.0
Rick,"It's okay, Morty, I know you were acting crazy. I mean, it's okay to laugh at myself.",0.0
Agent,"Well, I mean he kind of had to in order to get out of school.",0.022
Rick,I was also part of the school's test line of defense against the evil Grampa family.,0.0
Agent,"Morty, I'm not proud to share this, but the truth is I just kept crawling, and it kept working.",0.0
Rick,"Alright, Morty! We're goners now!",0.033
Agent,"Yeah, Morty...",0.059
Rick,Y-You know what? I-I'm really bad at this.,0.04
Agent,Good thing I saw that note.,0.14
Rick,"If you keep coming at me, I'll talk to you later.",0.189
Agent,"Come on, Morty?",0.22
Rick,"Yeah. You know what, Morty is this stuff that you keep slipping into your subconscious? You know, that's what's important.",0.252
Agent,Yeah... I know what's crucial to keep you coming at you.,0.306
