name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Whoa whoa wh-what are you doing to me?,0.071
Agent,Oh my God!,0.09
Rick,"Come on, Morty! Come on!",0.122
Agent,I need your help tonight.,0.182
Rick,What are you talking about?!,0.213
Agent,The election?,0.246
Rick,"The United Nations, where every human is an animal. But I thought, you know, nobody wants to say ""I'm an animal"" when talking about politics.",0.269
Agent,"Well, I don't think you do.",0.3
Rick,I think you're animals.,0.331
Agent,"Yeah, you think I'm that way about animal rights, too?",0.362
Rick,I don't care about family or community. I just keep an eye on Morty.,0.262
Agent,"Oh, for God's sake, Rick.",0.26
Rick,That's enough.,0.289
Agent,"All right, calm down, Morty. You're scaring the Vindicators.",0.287
Rick,They know I'm scaring them.,0.187
Agent,"You're scarily fast, Morty, they know I've been scaring 'em since I got them. You know, they're just babies. They know I mean it's scary.",0.091
Rick,"Scary stuff, Morty",0.0
Agent,Oh geez.,0.0
Rick,"Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird.",0.0
Agent,Goldenfold's just like that movie that's scary stuff. It made me a little sad.,0.0
