name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Morty!,0.062
Agent,Rick?,0.096
Rick,M-m-my partner. Morty.,0.127
Agent,Wh-what are you doing out of class?,0.166
Rick,Just hanging out and stuff.,0.193
Agent,"You know what, Rick? I-I'm really looking at you right now. You know what I want you to do with all that cash. I want YOU to have it. I'm gonna give it to YOU, Morty. You're a real big help to me.",0.235
Rick,Mm-hmm.,0.268
Agent,"Thank you, Summer.",0.367
Rick,"Yeah, it's nice to be on the same page all the time.",0.465
Agent,"Oh, no, Rick, I'm late to class again. I mean, it was nice to have you back, Morty, but I mean really bad news for you.",0.382
Rick,"It's okay, Morty!",0.324
Agent,"Whoa, whoa, what's wrong?",0.224
Rick,"Look, I know I know you're passionate, but you're not as fast as the other kids, and you're also not as smart as a pickle, so I'll pass judgment on this one.",0.126
Agent,"I know you know I was right about the matter, Morty",0.177
Rick,Yeah. I know. I was. I shouldn't have to make babies.,0.207
Agent,"That's a poor decision, Rick.",0.107
Rick,"No, you shouldn't do that, Morty you know that's not a good idea.",0.008
Agent,"Good thing I should have gotten counseling, Morty...  I should get counseling.",0.108
Rick,"Rick, Rick! Therapists, Therapist, Therapy, Therapist, Thermists, I mean people with those things are people with high-developed brains.",0.14
Agent,"Don't worry about getting pregnant, Morty? Therap, Morty's not getting pregnant.",0.238
