name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh, I don't know. I mean, you know,  we got blown up in a lot of ways today.",0.059
Agent,"Ow, ow ouch!",0.024
Rick,You're right.,0.117
Agent,"It's okay, Morty. We're just coping with the fact that we both suck.",0.037
Rick,"Oh, ow, ow.",0.042
Agent,I'm not crying. I'm just fucking myself.,0.032
Rick,What are you doing to me?,0.063
Agent,I don't think so. I think you're doing really well here.,0.162
Rick,"Aw, geez, Rick. I don’t think so either.",0.076
Agent,"Well, do you think maybe, could you help me with my homework?",0.176
Rick,"Morty, can you be a little bit more specific?",0.206
Agent,"Oh man, I can’T help you with anything.",0.109
Rick,Anything. Anything. Anything at all.,0.132
Agent,"Yeah, I guess.",0.162
Rick,You don‘t know me!,0.191
Agent,Anything at all!,0.215
Rick,Nuh uh!,0.23
Agent,Yeah huh!,0.258
Rick,"Well yeah, I know a thing or two about faces. One thing…",0.281
Agent,"You see, I get it. I get the feeling like we might have something nice for once in a while.",0.379
