name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Hey, hey, hey!",0.065
Agent,"Morty, hold the phone, it's you guys!",0.103
Rick,"Oh, man, I'm late to class because of my drinking and metioned it to zero applause.",0.072
Agent,What the hell?,0.0
Rick,"What, I don't know. I mean, look, I know a lot about the topic, and it's hard to understand but when you're not sure what you want for lunch, you can make your own rules.",0.0
Agent,"You're allowed to have an opinion, but you can't bring a knife to a gun fight.",0.0
Rick,"This is a great adventure, Morty. But, uh, you're under arrest.",0.005
Agent,"""For God’s sake, Nathan, why would you bring a gun to a knife fight?",0.0
Rick,"Because I love you, Morty! And I would fight for Jerry Smith if I could!",0.0
Agent,"I love you too, Jessica!",0.1
Rick,Holy crap! This is insane!,0.0
Agent,Jessica.,0.034
Rick,Jessica?,0.067
Agent,"Uh, yeah, Jessica.",0.096
Rick,Is that Jessica or Beth?,0.127
Agent,Jessica from the first season of that show.,0.157
Rick,"Oh man, Jessica?",0.179
Agent,"Ohh! Oh, man.",0.205
Rick,Holy shit.,0.105
Agent,Jesus! Jessica. Beth.,0.142
