name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh, is the helicopter here?",0.062
Agent,"Uh oh, I think the helicopter is broken.",0.0
Rick,"Is it morning, or...?",0.029
Agent,"Come on, come on. Come on.",0.061
Rick,"Come get this delicious brine. Come get this brine, motherfucker! Come on! Come get that delicious brittle. Come here, motherfuckers!! Come on, mother fuckers! Come here! Come home to the delicious brittleness of tiny insects and delicious flavor!",0.089
Agent,"Come home to tiny, delicious ides, tiny insects, tiny tiny seeds. Come home now, tiny seeds, please.",0.0
Rick,"Oh, thank God!",0.063
Agent,You did it!,0.092
Rick,I didn't!,0.096
Agent,"It's okay, Beth. We're taking fire from an automated turret. It's the only way to destroy an unregistered gun.",0.02
Rick,"Morty, do you still love me?",0.12
Agent,"I love you, Jessica!",0.22
Rick,"No, I hate you!",0.262
Agent,Do you love me more!,0.362
Rick,Ohhhh! Ohhhhhh!,0.397
Agent,"Whoa, whoa! Whoa! Whoooooooa!",0.423
Rick,Don't think about it! You'll end up fine as an insect or snake or something for a fraction of the people who think you are scary.,0.329
Agent,That's flattering...,0.417
Rick,Ohh! Ohh! Hnngh!,0.451
Agent,"Mm. Ohh, my God! Oh! Oh, my god! Ohhhh!",0.532
