name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Morty, Morty, come to rub my face in urine again!",0.041
Agent,What the hell?,0.0
Rick,"What's goin'on, bitch?!",0.0
Agent,What are you talking about?!,0.031
Rick,The election’s got these yellow shirts more riled up than a Picture Day Jessica.,0.0
Agent,"Get the fuck off the car, bitch!",0.0
Rick,"Hey, it’lln’t the election” we’re in?",0.026
Agent,"It’d better if you’ve learned one thing today, it involves ballsacks.",0.117
Rick,I’m going to start performing heart surgery.,0.15
Agent,"If you‘re not gonna do it, I’am going to.",0.179
Rick,"Okay, Rick, if you get those seeds in your butt, you should know that is not a good idea.",0.079
Agent,Mm-hmm.,0.112
Rick,You should know those seeds are laced with a deadly chemical that makes your penis explode.,0.012
Agent,"That’could use a name like “Mortys"" or something.",0.042
Rick,It's a miracle I actually get those.,0.141
Agent,"Oh, my God!",0.159
Rick,"Rick, that’is fucking amazing.",0.255
Agent,"Yes, thank you.",0.355
Rick,Thank you. I‘m so sorry I called you silly!,0.354
Agent,You’did it!,0.384
