name,line,rs_score
Agent,What's up Rick!,0.031
Rick,What are you doing?!,0.064
Agent,What is happening?!,0.092
Rick,The galactic government collapsed.,0.0
Agent,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHH!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.088
Rick,AAAAAAAAAAAAHHHHHHHHHHHH!!!!!!!!!!!!!!,0.177
Agent,The election’s got these yellow shirts more riled up than a Picture Day Jessica.,0.106
Rick,"What the hell are you, nuts? You don’t pay me to have fun! You put your faith in the right Morty, and we can do this!",0.135
Agent,Let’ll see if he can’re on board with this.,0.166
Rick,"You can call me Snowball, Morty.",0.195
Agent,Hey! Look at that. Looks like we have a “Buncha “Hunger Games” promotion in the bargain.,0.142
Rick,"Ready as I’ve ever, Rick!  Let’d go to the Wishing Portal.",0.223
Agent,Where is it?,0.253
Rick,It’is the portal to the Blender Dimension?!,0.285
Agent,Where are you?,0.314
Rick,"I’m Mr. Goldenfold, and you made me stronger!",0.399
Agent,"I love you, Morty!",0.499
Rick,"Oh, hi, Jessica. Hi, Jessica!",0.529
Agent,"Hi, Jessica, Jessica",0.559
Rick,Hi!,0.59
Agent,AAAAAAAAAAAHHHHH!!!!!!!,0.679
