name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Uh, what's up Morty?",0.059
Agent,What's good Morty? What's up?,0.157
Rick,Whooooooa!,0.191
Agent,What are you doing to me?,0.222
Rick,"Ugh, what are you talking about?",0.122
Agent,Whoa! Whoooooooa!,0.151
Rick,Ohhhh!,0.186
Agent,Whoaaaa!,0.223
Rick,Holy crap!,0.123
Agent,He's right. We're back!,0.217
Rick,We're back?,0.25
Agent,We were never gone.,0.276
Rick,We never werent friends.,0.282
Agent,"Oh, hi, Jessica.",0.31
Rick,AAAAAAAAHHHHH!!!!,0.399
Agent,AAAAAAAAHHH!!!!!!,0.487
Rick,Jessica.,0.521
Agent,Morty.,0.552
Rick,Whoooa.,0.586
Agent,Jessica?,0.62
