name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Morty, you're up.",0.06
Agent,"Rick, we're taking fire from an automated turret. Can you bring it offline?",0.091
Rick,Uh-huh.,0.108
Agent,"Uh, my God.",0.135
Rick,No way.,0.12
Agent,"Yeah, way. He's right.",0.214
Rick,"You're a good boy, Morty. You've done a good thing tonight.",0.314
Agent,Aaaawwaaaaawaawaawa!,0.346
Rick,"Aw, he's saying ""I love lasagna"".",0.446
Agent,I love Obama.,0.545
Rick,I'm so sorry.,0.446
Agent,"Oh, for crying out—he cried because he didn't give me enough milk.",0.346
Rick,"It's okay, Morty, it's okay to be angry. Just don't move, don't speak, don’t think, donut.",0.276
Agent,"Okay, I'm in.",0.261
Rick,"Don't worry about Jerry. He'll be fine. Just stay out of this. You know, he knows Jerry is a terrorist. He wants us to be okay.",0.309
Agent,"Jerry, we just got him back.",0.346
Rick,He's dead.,0.246
Agent,Who?,0.279
Rick,Yeah!,0.309
Agent,Who was that?!,0.341
