name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Hey there. How you doing?,0.063
Agent,Good I’m’t the only one that speaks to the heads!,0.163
Rick,"Whoa! Hi, stranger.",0.19
Agent,Who’s this now?,0.238
Rick,"Who is this now, and what is it?",0.303
Agent,"We have 34 armed guards, and we can’d put him on a watch list if he needs help.",0.339
Rick,He’ll need it later.,0.397
Agent,"All right, Mr. President, can we please go to the Ascension?",0.492
Rick,It’is the will of the many heads that all children honor their parents. But only on Earth.,0.569
Agent,"And what do you think is in the syringe, General?",0.599
Rick,I say we make our last day count.,0.638
Agent,I hope you like being frozen to death.,0.562
Rick,"Rick Sanchez, Unregistered Nurse, here to help!",0.647
Agent,I thought you were dead!,0.547
Rick,"Well, I hope you get better!",0.647
Agent,"Yeah, I guess I shoulda had better.",0.738
Rick,Yeah. You shoulda been.,0.768
Agent,You shoulda known that by now.,0.798
Rick,Well... you can't back that statement!,0.826
Agent,"You can't, you know that isn't funny, Jerry.",0.727
