name,line,rs_score
Agent,What's up Rick!,0.031
Rick,"Hey, Morty!",0.057
Agent,Morty!,0.088
Rick,Rick?,0.122
Agent,Hey!,0.146
Rick,Is that your intention to kill us all?,0.046
Agent,"Oh, absolutely.",0.065
Rick,"You were always kind to me, Morty. You were the love of my life. You're the reason I come to the surface. You are the reason why I come here. You bring people together.",0.165
Agent,Because you love yourself.,0.265
Rick,"That's pretty harsh, Rick. You came to the dark side to spite us, and you're probably the reason we don't have a home.",0.167
Agent,"Yeah, but I mean, I came here to spite you, Morty, so let's not get our hopes up.",0.077
Rick,The trick to the pickle is keeping your balls inside your ass.,0.0
Agent,Pickle Rick?,0.033
Rick,I came here for the lols. I came to kill you!,0.03
Agent,You came to suck your family?,0.0
Rick,"Well, it's possible that we may have been correlating some things that weren't actually related at all.",0.009
Agent,Oh.,0.024
Rick,"It's possible we may or may have misjudged the extent of your sensitivity, or maybe my love of pickle has been eroded away.",0.072
Agent,"Aw, man, man. I really like this pickle.",0.126
Rick,I'm sorry.,0.026
Agent,"Uh, my balls.",0.046
