name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Whoa whoa wh-what the hell hell hell?,0.0
Agent,It's a monster!,0.0
Rick,"What the hell are you doing, Morty?",0.0
Agent,We have to get out of here!,0.029
Rick,We got to get the hell out of there!,0.0
Agent,Get the hell away from here! We got to go.,0.0
Rick,Where are you guys going?,0.032
Agent,I don't know yet. I'll make it up as I go. That's what Grandpa Rick does. That is what heroes do.,0.103
Rick,Y-You want some privacy? I got some of that syringe F.D.'ing you up. Y-You got some that's gonna help too.,0.198
Agent,"You're gonna need it later, Morty.",0.229
Rick,That's enough.,0.258
Agent,"All right, well, let's do it.",0.358
Rick,I'll-I'll try to remember to shut off the brainalyzer.,0.387
Agent,"Shut it off, Rick! You're not gonna help me with this!",0.29
Rick,Shut the fuck up!,0.19
Agent,"Hey, it's fine. You're just being obstinate.",0.194
Rick,"Not an issue, Rick.",0.243
Agent,"Oh, I'm not an animal. You just keep crawling on my stuff like that.",0.266
Rick,"It doesn't feel so good, does it?",0.166
Agent,"Yeah, it does.",0.198
