name,line,rs_score
Agent,What's up Rick!,0.031
Rick,Uh-oh.,0.022
Agent,"Oh, God.",0.047
Rick,"Uh, what's going on?",0.072
Agent,The force is stopping.,0.102
Rick,Whoooooo!,0.161
Agent,Ohhhhhh!,0.196
Rick,Whoa!,0.222
Agent,What the hell hell?,0.122
Rick,"Yeah. I mean, you know, it's not like he could have actually done it.",0.123
Agent,What?,0.155
Rick,"Well, duh doy, son. I know you're a child, but the fact that you're trying to use this to justify your own assasination speaks to the necessity of assimilation.",0.229
Agent,"Dad, the name’s real, and it’ll probably come up organically in some way later in life. I’m just saying, the two of you made me a little sad to hear this.",0.189
Rick,"Well it makes you a little smarter, doesn’t it?",0.287
Agent,A little?,0.315
Rick,I’ve heard a lot about you today. Your family is crazy about you. Your daughter holds you in very high regard. Your job is to be a whistle!,0.217
Agent,"Yeah, I guess I shoulda’d put my faith in the right Morty.",0.298
Rick,"You should put your faith in your work, Morty. You’re a real solid pickle.",0.379
Agent,That’is a three-pointer!,0.409
Rick,You say… that… that’am a three…,0.42
Agent,That is a three point!,0.45
